#           k/h    P           
   0.193924E+00   0.235193E+04
   0.194840E+00   0.233720E+04
   0.195757E+00   0.232338E+04
   0.196673E+00   0.230957E+04
   0.197589E+00   0.229563E+04
   0.198505E+00   0.228132E+04
   0.199422E+00   0.226694E+04
   0.200338E+00   0.225299E+04
   0.201254E+00   0.223899E+04
   0.202170E+00   0.222494E+04
   0.203087E+00   0.221086E+04
   0.204003E+00   0.219701E+04
   0.204919E+00   0.218357E+04
   0.205835E+00   0.217004E+04
   0.206752E+00   0.215624E+04
   0.207668E+00   0.214242E+04
   0.208584E+00   0.212874E+04
   0.209500E+00   0.211573E+04
   0.210417E+00   0.210282E+04
   0.211333E+00   0.208996E+04
   0.212249E+00   0.207701E+04
   0.213165E+00   0.206411E+04
   0.214082E+00   0.205147E+04
   0.214998E+00   0.203904E+04
   0.215914E+00   0.202679E+04
   0.216831E+00   0.201469E+04
   0.217747E+00   0.200270E+04
   0.218663E+00   0.199075E+04
   0.221540E+00   0.195479E+04
   0.224455E+00   0.191993E+04
   0.227408E+00   0.188618E+04
   0.230401E+00   0.185369E+04
   0.233432E+00   0.182269E+04
   0.236504E+00   0.179201E+04
   0.239615E+00   0.176307E+04
   0.242768E+00   0.173403E+04
   0.245962E+00   0.170617E+04
   0.249199E+00   0.167849E+04
   0.252478E+00   0.165150E+04
   0.255800E+00   0.162413E+04
   0.259165E+00   0.159801E+04
   0.262575E+00   0.157139E+04
   0.266030E+00   0.154502E+04
   0.269531E+00   0.151944E+04
   0.273077E+00   0.149328E+04
   0.276670E+00   0.146857E+04
   0.280311E+00   0.144374E+04
   0.283999E+00   0.141972E+04
   0.287736E+00   0.139595E+04
   0.291521E+00   0.137342E+04
   0.295357E+00   0.135070E+04
   0.299243E+00   0.132915E+04
   0.303181E+00   0.130781E+04
   0.307170E+00   0.128716E+04
   0.311212E+00   0.126685E+04
   0.315306E+00   0.124706E+04
   0.319455E+00   0.122743E+04
   0.323658E+00   0.120830E+04
   0.327917E+00   0.118925E+04
   0.332232E+00   0.117065E+04
   0.336603E+00   0.115216E+04
   0.341032E+00   0.113420E+04
   0.345519E+00   0.111640E+04
   0.350065E+00   0.109908E+04
   0.354672E+00   0.108199E+04
   0.359338E+00   0.106553E+04
   0.364066E+00   0.104915E+04
   0.368857E+00   0.103339E+04
   0.373710E+00   0.101793E+04
   0.378627E+00   0.100277E+04
   0.383609E+00   0.987833E+03
   0.388656E+00   0.973341E+03
   0.393770E+00   0.958919E+03
   0.398951E+00   0.944737E+03
   0.404200E+00   0.930882E+03
   0.409519E+00   0.917119E+03
   0.414907E+00   0.903738E+03
   0.420366E+00   0.890600E+03
   0.425897E+00   0.877748E+03
   0.431501E+00   0.865161E+03
   0.437179E+00   0.852921E+03
   0.442931E+00   0.840869E+03
   0.448759E+00   0.829049E+03
   0.454664E+00   0.817468E+03
   0.460646E+00   0.806061E+03
   0.466707E+00   0.794820E+03
   0.472848E+00   0.783774E+03
   0.479070E+00   0.772938E+03
   0.485373E+00   0.762279E+03
   0.491759E+00   0.751878E+03
   0.498230E+00   0.741642E+03
   0.504785E+00   0.731663E+03
   0.511427E+00   0.721830E+03
   0.518156E+00   0.712208E+03
   0.524974E+00   0.702687E+03
   0.531882E+00   0.693402E+03
   0.538880E+00   0.684188E+03
   0.545970E+00   0.675186E+03
   0.553154E+00   0.666308E+03
   0.560432E+00   0.657619E+03
   0.567806E+00   0.649066E+03
   0.575277E+00   0.640689E+03
   0.582847E+00   0.632446E+03
   0.590516E+00   0.624335E+03
   0.598285E+00   0.616346E+03
   0.606157E+00   0.608490E+03
   0.614133E+00   0.600743E+03
   0.622214E+00   0.593132E+03
   0.630401E+00   0.585651E+03
   0.638695E+00   0.578286E+03
   0.647099E+00   0.571049E+03
   0.655613E+00   0.563906E+03
   0.706427E+00   0.525120E+03
   0.761180E+00   0.489361E+03
   0.820176E+00   0.456150E+03
   0.883744E+00   0.425101E+03
   0.952240E+00   0.395879E+03
   0.102604E+01   0.368200E+03
   0.110557E+01   0.341848E+03
   0.119126E+01   0.316661E+03
   0.128359E+01   0.292522E+03
   0.138307E+01   0.269365E+03
   0.149027E+01   0.247175E+03
   0.160577E+01   0.225953E+03
   0.173023E+01   0.205736E+03
   0.186434E+01   0.186575E+03
   0.200883E+01   0.168522E+03
   0.216453E+01   0.151622E+03
   0.233229E+01   0.135914E+03
   0.251306E+01   0.121414E+03
   0.270784E+01   0.108112E+03
   0.291771E+01   0.959860E+02
   0.314385E+01   0.849916E+02
   0.338752E+01   0.750697E+02
   0.365007E+01   0.661534E+02
   0.393298E+01   0.581707E+02
   0.423780E+01   0.510468E+02
   0.456626E+01   0.447085E+02
   0.492017E+01   0.390855E+02
   0.530152E+01   0.341091E+02
   0.571242E+01   0.297151E+02
   0.615516E+01   0.258437E+02
   0.663223E+01   0.224389E+02
   0.714626E+01   0.194499E+02
   0.770014E+01   0.168312E+02
   0.829695E+01   0.145414E+02
   0.894001E+01   0.125433E+02
   0.963292E+01   0.108028E+02
   0.103795E+02   0.928938E+01
   0.111840E+02   0.797546E+01
   0.120508E+02   0.683694E+01
   0.129848E+02   0.585223E+01
   0.139913E+02   0.500187E+01
   0.150757E+02   0.426873E+01
   0.162441E+02   0.363784E+01
   0.175031E+02   0.309575E+01
   0.188597E+02   0.263072E+01
   0.203215E+02   0.223247E+01
   0.218965E+02   0.189193E+01
   0.235936E+02   0.160120E+01
   0.254223E+02   0.135337E+01
   0.273927E+02   0.114243E+01
   0.295158E+02   0.963158E+00
   0.318034E+02   0.811034E+00
   0.342684E+02   0.682112E+00
   0.369244E+02   0.572985E+00
   0.397862E+02   0.480769E+00
   0.428699E+02   0.402977E+00
   0.461926E+02   0.337405E+00
   0.497728E+02   0.282164E+00
   0.536305E+02   0.235721E+00
   0.577872E+02   0.196767E+00
   0.622660E+02   0.164095E+00
   0.670920E+02   0.136678E+00
   0.722921E+02   0.113732E+00
   0.778951E+02   0.945943E-01
   0.839325E+02   0.786107E-01
   0.904378E+02   0.652366E-01
   0.974472E+02   0.540986E-01
   0.105000E+03   0.448493E-01
